City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
309,Ishigaki,JP,24.3448,124.1572,80.73,78,40,9.22,scattered clouds
310,Shache,CN,38.4167,77.2406,27.03,23,75,0.45,broken clouds
311,Hualmay,PE,-11.0964,-77.6139,66.27,84,19,8.19,few clouds
312,Geraldton,AU,-28.7667,114.6,75.61,57,75,12.66,broken clouds
313,Am Timan,TD,11.0297,20.2827,71.01,20,70,8.16,broken clouds
314,Watertown,US,42.3709,-71.1828,45.41,64,20,17.27,few clouds
315,Iqaluit,CA,63.7506,-68.5145,17.33,72,100,10.36,light snow
316,Kavaratti,IN,10.5669,72.642,81.57,75,94,8.01,overcast clouds
317,Srednekolymsk,RU,67.45,153.6833,-42.5,100,52,2.15,broken clouds
318,Ca Mau,VN,9.1769,105.15,82.8,83,85,14.09,overcast clouds
319,Ipixuna,BR,-1.7625,-48.8043,73.98,94,100,1.97,overcast clouds
320,Coos Bay,US,43.3665,-124.2179,46.99,94,100,3.44,overcast clouds
321,Zarichne,UA,51.8126,26.129,25.92,89,99,11.27,overcast clouds
322,Bandarbeyla,SO,9.4942,50.8122,77.54,67,9,17.52,clear sky
323,Teguise,ES,29.0605,-13.564,57.42,88,20,6.91,light rain
324,Shadrinsk,RU,56.0852,63.6335,3.22,93,84,8.59,broken clouds
325,Itacare,BR,-14.2775,-38.9967,73.42,90,67,5.41,broken clouds
326,Ormara,PK,25.2088,64.6357,74.32,44,0,4.38,clear sky
327,Linhai,CN,28.85,121.1167,51.93,81,100,4.59,overcast clouds
328,Waingapu,ID,-9.6567,120.2641,87.35,53,93,10.13,overcast clouds
329,Zihuatanejo,MX,17.6333,-101.55,78.08,81,1,4.79,clear sky
330,Chiclana,AR,-35.7346,-61.7503,63.03,40,0,8.16,clear sky
331,Maneadero,MX,31.7167,-116.5667,56.1,86,100,2.28,overcast clouds
332,Omboue,GA,-1.5746,9.2618,74.25,95,100,2.06,light rain
333,Sagone,FR,42.1155,8.6969,52.27,77,80,5.14,broken clouds
334,Satipo,PE,-11.2522,-74.6386,67.08,99,100,2.46,overcast clouds
335,Penzance,GB,50.1186,-5.5371,41.68,80,100,19.3,overcast clouds
336,Tongzi,CN,28.7829,105.0877,47.44,71,100,1.1,overcast clouds
337,Sao Francisco De Assis,BR,-29.5503,-55.1311,69.26,95,42,5.01,scattered clouds
338,Ganta,LR,7.3022,-8.5308,67.69,98,87,1.88,overcast clouds
339,Villazon,BO,-22.0866,-65.5942,48.47,57,80,2.46,broken clouds
340,Ostersund,SE,63.1792,14.6357,20.61,100,100,35.99,overcast clouds
341,Plakhtiyivka,UA,46.1006,29.7217,37.13,78,100,10.92,overcast clouds
342,Mogadishu,SO,2.0371,45.3438,78.67,89,20,6.91,few clouds
